name,price,first_name,last_name,above_100
William Garcia,258.1809089,William,Garcia,True
Barbara Freeman,141.890534,Barbara,Freeman,True
Rebecca Zimmerman,293.37327200000004,Rebecca,Zimmerman,True
Patricia Velasquez,249.9479246,Patricia,Velasquez,True
Ronnie Clark,272.908659,Ronnie,Clark,True
Timothy Rose,65.74326968,Timothy,Rose,False
Joshua Ramirez,64.54997394,Joshua,Ramirez,False
Joseph Dawson,111.01713840000001,Joseph,Dawson,True
Robert Rios,87.31797988,Robert,Rios,False
Karen Mitchell,277.2511543,Karen,Mitchell,True
Patrick Greene,7.259436115,Patrick,Greene,False
Matthew Nelson,295.31468870000003,Matthew,Nelson,True
Melissa Smith,70.04282129,Melissa,Smith,False
Amy Johnson,78.26892103,Amy,Johnson,False
Edgar Ellis,208.6777041,Edgar,Ellis,True
Olivia Rivera,104.80949509999999,Olivia,Rivera,True
Kelly Leblanc MD,40.20849552,Kelly,Leblanc,False
Jennifer Anderson,17.90633335,Jennifer,Anderson,False
Tammy Clark,125.06722169999999,Tammy,Clark,True
Jennifer Marquez,21.63604687,Jennifer,Marquez,False
Cory Silva,36.24541189,Cory,Silva,False
Mackenzie Moon,264.9268902,Mackenzie,Moon,True
Larry Wade,126.3049676,Larry,Wade,True
Diana Shaffer,37.50406255,Diana,Shaffer,False
Stephen Smith,168.1895294,Stephen,Smith,True
Kendra White,265.1085587,Kendra,White,True
Lindsey Williamson,280.3953974,Lindsey,Williamson,True
Wanda Hale,106.0997985,Wanda,Hale,True
Jillian Davies DDS,10.64366962,Jillian,Davies,False
Douglas Thomas,119.03826070000001,Douglas,Thomas,True
Jennifer Davis,153.05265380000003,Jennifer,Davis,True
George Holmes,44.38614111,George,Holmes,False
Marissa Webster,105.43782409999999,Marissa,Webster,True
Anna Boyle,80.47552199,Anna,Boyle,False
Paul Gillespie,174.6815735,Paul,Gillespie,True
Autumn Johnston,132.78034399999999,Autumn,Johnston,True
Tracey Norton DDS,118.0225331,Tracey,Norton,True
Amy Flynn,128.67397979999998,Amy,Flynn,True
Melissa Davis,72.58977535,Melissa,Davis,False
Vincent Mitchell,78.43990466,Vincent,Mitchell,False
Gregory Martin,144.6915752,Gregory,Martin,True
Robert Coffey Jr.,117.32056329999999,Robert,Coffey,True
Melissa Montgomery,101.48455340000001,Melissa,Montgomery,True
Krystal Cunningham,296.536062,Krystal,Cunningham,True
Scott Lee,163.48785080000002,Scott,Lee,True
James Murray,28.59025756,James,Murray,False
Hunter Stokes,3.582742282,Hunter,Stokes,False
Jasmine Austin,33.90382995,Jasmine,Austin,False
Grant Summers,51.78034157,Grant,Summers,False
Sarah Spencer DDS,271.60236760000004,Sarah,Spencer,True
Brianna Lewis,192.617676,Brianna,Lewis,True
Mrs. Rhonda Martin DVM,145.6455553,Mrs.,Rhonda,True
Dennis Lawrence Jr.,161.3584294,Dennis,Lawrence,True
Michael Stewart,245.44009869999996,Michael,Stewart,True
William Wilkins,22.90555849,William,Wilkins,False
Rebecca Jimenez,142.59073700000002,Rebecca,Jimenez,True
Kathleen Roman,15.10135967,Kathleen,Roman,False
Billy Smith,22.53181535,Billy,Smith,False
Nicole James,101.91384599999999,Nicole,James,True
Allison Holt,12.7990102,Allison,Holt,False
Amanda Johnson,19.17461281,Amanda,Johnson,False
Michael Spencer,171.89094599999999,Michael,Spencer,True
Brandi King,30.05366744,Brandi,King,False
Alexander King,23.47063099,Alexander,King,False
Nicole Sampson,207.6385148,Nicole,Sampson,True
Savannah Bell,22.05563858,Savannah,Bell,False
Jessica Harris MD,103.7031099,Jessica,Harris,True
Lauren Gallagher,266.215602,Lauren,Gallagher,True
Jack Townsend,93.27791862,Jack,Townsend,False
Jamie Nguyen,228.99533280000003,Jamie,Nguyen,True
Ann Price,266.323001,Ann,Price,True
Michael Rodriguez,224.04529509999998,Michael,Rodriguez,True
Heather Davidson,219.8337855,Heather,Davidson,True
Marie Green,146.6406753,Marie,Green,True
Lori Tapia,147.3422789,Lori,Tapia,True
Kayla Alvarado,127.2410425,Kayla,Alvarado,True
Susan Crosby,200.36529119999997,Susan,Crosby,True
Nathan Harris,163.87310269999998,Nathan,Harris,True
Michael Daniel,4.582288435,Michael,Daniel,False
Ashley Jones,53.14943439,Ashley,Jones,False
John Wright,91.35592502,John,Wright,False
Melissa Jordan,294.21541329999997,Melissa,Jordan,True
Carrie Jackson,232.6768105,Carrie,Jackson,True
Rebecca Anderson,183.1702424,Rebecca,Anderson,True
Paul Powell,105.1162169,Paul,Powell,True
Shawn Baxter,81.03527984,Shawn,Baxter,False
Sarah Wright,141.0101793,Sarah,Wright,True
Kimberly Romero,235.62408399999998,Kimberly,Romero,True
Matthew Washington,186.50448369999998,Matthew,Washington,True
Kirk Hayden,148.2501795,Kirk,Hayden,True
Traci Kelley,41.56298339,Traci,Kelley,False
Isabella Chen,129.69210719999998,Isabella,Chen,True
Melanie Salazar,292.8461055,Melanie,Salazar,True
Stephanie Lewis,76.43122945,Stephanie,Lewis,False
Christopher Hensley,249.1556558,Christopher,Hensley,True
Terry Vincent,242.9859001,Terry,Vincent,True
Jason Alvarado,95.92027624,Jason,Alvarado,False
Michelle Evans,257.2373034,Michelle,Evans,True
Dennis Benitez,87.11980487,Dennis,Benitez,False
Troy Garcia,181.4054634,Troy,Garcia,True
Albert Davila,113.21098219999999,Albert,Davila,True
Candice Rivera,42.88132073,Candice,Rivera,False
